Model ID,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Precision_functional,Precision_functional needs repair,Precision_non functional,Recall_functional,Recall_functional needs repair,Recall_non functional
sol_1,0.7451,0.8326,0.5218,0.5199,0.6988,0.9200,0.8791,0.9569,0.0267,0.5819
sol_2,0.7908,0.7144,0.6481,0.6699,0.7946,0.5344,0.8140,0.8756,0.3059,0.7627
sol_3,0.7908,0.7144,0.6481,0.6699,0.7946,0.5344,0.8140,0.8756,0.3059,0.7627
sol_4,0.7451,0.8326,0.5218,0.5199,0.6988,0.9200,0.8791,0.9569,0.0267,0.5819
sol_5,0.7728,0.8055,0.5753,0.5990,0.7289,0.8042,0.8834,0.9519,0.1333,0.6408
sol_6,0.7467,0.8107,0.5270,0.5293,0.7011,0.8537,0.8773,0.9563,0.0406,0.5843
sol_7,0.7928,0.7787,0.6155,0.6459,0.7611,0.7087,0.8663,0.9338,0.2086,0.7041
sol_8,0.7960,0.7714,0.6229,0.6532,0.7687,0.6857,0.8597,0.9276,0.2225,0.7186
sol_9,0.7977,0.7440,0.6419,0.6694,0.7882,0.6120,0.8318,0.8979,0.2723,0.7554
sol_10,0.7867,0.7931,0.5998,0.6275,0.7521,0.7629,0.8641,0.9366,0.1715,0.6914
sol_11,0.7966,0.7338,0.6454,0.6713,0.7897,0.5812,0.8306,0.8925,0.2862,0.7576
sol_12,0.7789,0.7950,0.5815,0.6042,0.7389,0.7718,0.8742,0.9456,0.1333,0.6656
sol_13,0.7937,0.7238,0.6463,0.6703,0.7917,0.5570,0.8228,0.8844,0.2943,0.7600
sol_14,0.7974,0.7665,0.6318,0.6628,0.7737,0.6708,0.8549,0.9217,0.2480,0.7258
sol_15,0.7956,0.7596,0.6325,0.6630,0.7731,0.6537,0.8520,0.9167,0.2538,0.7269
sol_16,0.7460,0.8178,0.5235,0.5232,0.6989,0.8710,0.8836,0.9589,0.0313,0.5803
sol_17,0.7949,0.7498,0.6342,0.6637,0.7748,0.6243,0.8502,0.9156,0.2619,0.7252
sol_18,0.7786,0.7971,0.5806,0.6030,0.7387,0.7793,0.8732,0.9452,0.1309,0.6656
sol_19,0.7923,0.7865,0.6075,0.6354,0.7602,0.7358,0.8636,0.9341,0.1808,0.7076
sol_20,0.7873,0.7866,0.6006,0.6275,0.7552,0.7462,0.8584,0.9325,0.1703,0.6989
sol_1,0.7867,0.6932,0.6403,0.6584,0.7933,0.4723,0.8139,0.8669,0.2862,0.7679
sol_2,0.7450,0.8281,0.5229,0.5228,0.6980,0.9032,0.8829,0.9594,0.0324,0.5768
sol_3,0.7450,0.8281,0.5229,0.5228,0.6980,0.9032,0.8829,0.9594,0.0324,0.5768
sol_4,0.7448,0.8235,0.5214,0.5199,0.6977,0.8889,0.8840,0.9600,0.0278,0.5764
sol_5,0.7652,0.8063,0.5549,0.5676,0.7224,0.8235,0.8730,0.9496,0.0811,0.6340
sol_6,0.7921,0.7221,0.6311,0.6550,0.7864,0.5564,0.8235,0.8891,0.2457,0.7585
sol_7,0.7631,0.8035,0.5503,0.5608,0.7196,0.8158,0.8752,0.9519,0.0718,0.6270
sol_8,0.7864,0.7000,0.6350,0.6552,0.7906,0.4989,0.8106,0.8700,0.2688,0.7662
sol_9,0.7782,0.8107,0.5743,0.5926,0.7390,0.8246,0.8686,0.9449,0.1089,0.6691
sol_10,0.7924,0.7679,0.6124,0.6401,0.7653,0.6844,0.8540,0.9237,0.1935,0.7201
sol_11,0.7926,0.7548,0.6149,0.6417,0.7694,0.6466,0.8483,0.9186,0.1993,0.7269
sol_12,0.7881,0.7740,0.5964,0.6198,0.7576,0.7081,0.8563,0.9311,0.1518,0.7063
sol_13,0.7926,0.7380,0.6271,0.6523,0.7868,0.6111,0.8162,0.8888,0.2294,0.7631
sol_14,0.7764,0.7945,0.5795,0.6025,0.7359,0.7733,0.8744,0.9465,0.1344,0.6575
sol_15,0.7791,0.7949,0.5829,0.6067,0.7385,0.7692,0.8771,0.9479,0.1390,0.6616
sol_16,0.7916,0.7561,0.6129,0.6394,0.7685,0.6537,0.8462,0.9181,0.1947,0.7258
sol_17,0.7631,0.8035,0.5503,0.5608,0.7196,0.8158,0.8752,0.9519,0.0718,0.6270
sol_18,0.7883,0.7727,0.6001,0.6247,0.7600,0.7071,0.8509,0.9265,0.1622,0.7116
sol_19,0.7883,0.7727,0.6001,0.6247,0.7600,0.7071,0.8509,0.9265,0.1622,0.7116
sol_20,0.7782,0.8107,0.5743,0.5926,0.7390,0.8246,0.8686,0.9449,0.1089,0.6691
sol_1,0.7919,0.7123,0.6497,0.6707,0.7964,0.5248,0.8158,0.8727,0.3071,0.7694
sol_2,0.7919,0.7123,0.6497,0.6707,0.7964,0.5248,0.8158,0.8727,0.3071,0.7694
sol_3,0.7338,0.8587,0.5045,0.4945,0.6853,1.0000,0.8908,0.9639,0.0023,0.5472
sol_4,0.7469,0.8347,0.5231,0.5214,0.6995,0.9200,0.8845,0.9586,0.0267,0.5840
sol_5,0.7734,0.8152,0.5707,0.5900,0.7319,0.8421,0.8718,0.9454,0.1112,0.6555
sol_6,0.7819,0.7951,0.5943,0.6226,0.7426,0.7684,0.8743,0.9417,0.1692,0.6721
sol_7,0.7545,0.8167,0.5456,0.5598,0.7079,0.8588,0.8834,0.9563,0.0846,0.5961
sol_8,0.7993,0.7452,0.6443,0.6716,0.7913,0.6140,0.8302,0.8951,0.2746,0.7631
sol_9,0.7792,0.7991,0.5808,0.6027,0.7401,0.7872,0.8701,0.9429,0.1286,0.6708
sol_10,0.7872,0.7870,0.6038,0.6325,0.7539,0.7453,0.8617,0.9331,0.1831,0.6952
sol_11,0.7964,0.7656,0.6240,0.6532,0.7731,0.6725,0.8510,0.9197,0.2213,0.7311
sol_12,0.7952,0.7849,0.6139,0.6419,0.7695,0.7354,0.8499,0.9246,0.1900,0.7269
sol_13,0.7981,0.7619,0.6352,0.6643,0.7867,0.6708,0.8282,0.9013,0.2480,0.7563
sol_14,0.7747,0.8041,0.5715,0.5903,0.7332,0.8051,0.8741,0.9459,0.1101,0.6586
sol_15,0.7956,0.7275,0.6460,0.6703,0.7951,0.5678,0.8196,0.8821,0.2862,0.7697
sol_16,0.7999,0.7527,0.6389,0.6666,0.7906,0.6385,0.8291,0.8973,0.2538,0.7655
sol_17,0.7362,0.8570,0.5071,0.4971,0.6892,1.0000,0.8818,0.9598,0.0023,0.5591
sol_18,0.7564,0.8190,0.5399,0.5461,0.7117,0.8704,0.8748,0.9513,0.0545,0.6139
sol_19,0.7441,0.8234,0.5279,0.5344,0.6962,0.8868,0.8872,0.9604,0.0545,0.5689
sol_20,0.7362,0.8570,0.5071,0.4971,0.6892,1.0000,0.8818,0.9598,0.0023,0.5591
