Model ID,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Precision_functional,Precision_functional needs repair,Precision_non functional,Recall_functional,Recall_functional needs repair,Recall_non functional
sol_17,0.7141,0.7543,0.4883,0.4791,0.6657,0.7000,0.8972,0.9688,0.0081,0.4878
sol_18,0.7141,0.7543,0.4883,0.4791,0.6657,0.7000,0.8972,0.9688,0.0081,0.4878
sol_19,0.7802,0.7308,0.6233,0.6522,0.7453,0.5513,0.8957,0.9384,0.2804,0.6511
sol_20,0.7151,0.7391,0.4908,0.4840,0.6662,0.6500,0.9012,0.9698,0.0151,0.4876
sol_1,0.7408,0.7113,0.5514,0.5738,0.6975,0.5447,0.8916,0.9528,0.1483,0.5531
sol_2,0.7985,0.7102,0.6901,0.6981,0.8011,0.4685,0.8610,0.8804,0.4392,0.7508
sol_3,0.7408,0.7113,0.5514,0.5738,0.6975,0.5447,0.8916,0.9528,0.1483,0.5531
sol_4,0.7985,0.7102,0.6901,0.6981,0.8011,0.4685,0.8610,0.8804,0.4392,0.7508
sol_5,0.7959,0.7143,0.6754,0.6897,0.7844,0.4768,0.8816,0.9024,0.4044,0.7195
sol_6,0.7614,0.7046,0.5997,0.6256,0.7254,0.4899,0.8983,0.9394,0.2538,0.6060
sol_7,0.7408,0.7379,0.5482,0.5703,0.6972,0.6359,0.8805,0.9518,0.1356,0.5573
sol_8,0.7440,0.7212,0.5555,0.5791,0.6999,0.5684,0.8954,0.9552,0.1541,0.5573
sol_9,0.8000,0.7141,0.6861,0.6969,0.7956,0.4724,0.8744,0.8934,0.4264,0.7385
sol_10,0.7615,0.7066,0.5997,0.6259,0.7249,0.4955,0.8993,0.9401,0.2538,0.6051
sol_11,0.7403,0.7137,0.5510,0.5734,0.6970,0.5546,0.8896,0.9515,0.1472,0.5542
sol_12,0.7959,0.7059,0.6884,0.6952,0.8003,0.4594,0.8579,0.8768,0.4392,0.7491
sol_13,0.7539,0.7061,0.5804,0.6065,0.7137,0.5056,0.8991,0.9456,0.2097,0.5860
sol_14,0.7539,0.7061,0.5804,0.6065,0.7137,0.5056,0.8991,0.9456,0.2097,0.5860
sol_15,0.7514,0.7212,0.5697,0.5957,0.7097,0.5632,0.8908,0.9508,0.1808,0.5775
sol_16,0.8016,0.7168,0.6876,0.6988,0.7964,0.4780,0.8762,0.8955,0.4276,0.7396
sol_17,0.7425,0.7206,0.5583,0.5832,0.6997,0.5737,0.8883,0.9504,0.1669,0.5577
sol_18,0.7499,0.7195,0.5721,0.5990,0.7089,0.5627,0.8869,0.9463,0.1924,0.5777
sol_19,0.7515,0.7237,0.5718,0.5986,0.7097,0.5704,0.8911,0.9502,0.1877,0.5775
sol_20,0.7615,0.7066,0.5997,0.6259,0.7249,0.4955,0.8993,0.9401,0.2538,0.6051
