Model ID,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Precision_functional,Precision_functional needs repair,Precision_non functional,Recall_functional,Recall_functional needs repair,Recall_non functional
sol_17,0.7331,0.7141,0.5250,0.5259,0.7121,0.6500,0.7801,0.8944,0.0452,0.6353
sol_18,0.7333,0.7107,0.5252,0.5261,0.7125,0.6393,0.7803,0.8944,0.0452,0.6360
sol_19,0.7333,0.7107,0.5252,0.5261,0.7125,0.6393,0.7803,0.8944,0.0452,0.6360
sol_20,0.7337,0.6882,0.5314,0.5368,0.7155,0.5729,0.7762,0.8875,0.0637,0.6430
sol_1,0.7352,0.6756,0.5349,0.5436,0.7145,0.5234,0.7889,0.8989,0.0776,0.6283
sol_2,0.7327,0.7027,0.5257,0.5303,0.7070,0.6049,0.7962,0.9089,0.0568,0.6114
sol_3,0.7352,0.6756,0.5349,0.5436,0.7145,0.5234,0.7889,0.8989,0.0776,0.6283
sol_4,0.7327,0.7027,0.5257,0.5303,0.7070,0.6049,0.7962,0.9089,0.0568,0.6114
sol_5,0.7333,0.6842,0.5286,0.5343,0.7102,0.5510,0.7913,0.9034,0.0626,0.6200
sol_6,0.7344,0.6834,0.5328,0.5410,0.7121,0.5470,0.7910,0.9021,0.0742,0.6222
sol_7,0.7333,0.6988,0.5271,0.5321,0.7083,0.5930,0.7952,0.9076,0.0591,0.6145
sol_8,0.7350,0.6759,0.5345,0.5433,0.7137,0.5234,0.7907,0.9007,0.0776,0.6252
sol_9,0.7327,0.7003,0.5257,0.5303,0.7072,0.5976,0.7961,0.9088,0.0568,0.6117
sol_10,0.7333,0.6988,0.5271,0.5321,0.7083,0.5930,0.7952,0.9076,0.0591,0.6145
sol_11,0.7344,0.6834,0.5328,0.5410,0.7121,0.5470,0.7910,0.9021,0.0742,0.6222
sol_12,0.7333,0.6842,0.5286,0.5343,0.7102,0.5510,0.7913,0.9034,0.0626,0.6200
sol_13,0.7350,0.6759,0.5345,0.5433,0.7137,0.5234,0.7907,0.9007,0.0776,0.6252
sol_14,0.7327,0.7003,0.5257,0.5303,0.7072,0.5976,0.7961,0.9088,0.0568,0.6117
sol_15,0.7350,0.6759,0.5346,0.5433,0.7137,0.5234,0.7906,0.9006,0.0776,0.6255
sol_16,0.7350,0.6759,0.5346,0.5433,0.7137,0.5234,0.7906,0.9006,0.0776,0.6255
sol_17,0.7333,0.6988,0.5271,0.5321,0.7083,0.5930,0.7952,0.9076,0.0591,0.6145
sol_18,0.7327,0.7003,0.5257,0.5303,0.7072,0.5976,0.7961,0.9088,0.0568,0.6117
sol_19,0.7352,0.6756,0.5349,0.5436,0.7145,0.5234,0.7889,0.8989,0.0776,0.6283
sol_20,0.7352,0.6756,0.5349,0.5436,0.7145,0.5234,0.7889,0.8989,0.0776,0.6283
sol_1,0.7284,0.7282,0.5168,0.5143,0.7066,0.7000,0.7779,0.8987,0.0324,0.6193
sol_2,0.7317,0.6962,0.5368,0.5482,0.7140,0.6000,0.7748,0.8889,0.0904,0.6309
sol_3,0.7317,0.6962,0.5368,0.5482,0.7140,0.6000,0.7748,0.8889,0.0904,0.6309
sol_4,0.7284,0.7282,0.5168,0.5143,0.7066,0.7000,0.7779,0.8987,0.0324,0.6193
sol_5,0.7293,0.7242,0.5241,0.5281,0.7075,0.6857,0.7793,0.8970,0.0556,0.6198
sol_6,0.7281,0.7248,0.5170,0.5148,0.7065,0.6905,0.7773,0.8979,0.0336,0.6195
sol_7,0.7308,0.7018,0.5334,0.5434,0.7117,0.6174,0.7763,0.8913,0.0823,0.6268
sol_8,0.7308,0.6967,0.5335,0.5434,0.7118,0.6017,0.7767,0.8910,0.0823,0.6272
sol_9,0.7301,0.7085,0.5283,0.5350,0.7094,0.6374,0.7786,0.8948,0.0672,0.6228
sol_10,0.7295,0.7178,0.5263,0.5320,0.7082,0.6667,0.7784,0.8958,0.0626,0.6206
sol_11,0.7301,0.7085,0.5283,0.5350,0.7094,0.6374,0.7786,0.8948,0.0672,0.6228
sol_12,0.7308,0.7018,0.5334,0.5434,0.7117,0.6174,0.7763,0.8913,0.0823,0.6268
sol_13,0.7293,0.7209,0.5242,0.5282,0.7077,0.6761,0.7788,0.8965,0.0556,0.6204
sol_14,0.7300,0.7130,0.5275,0.5337,0.7089,0.6512,0.7789,0.8953,0.0649,0.6222
sol_15,0.7295,0.7178,0.5263,0.5320,0.7082,0.6667,0.7784,0.8958,0.0626,0.6206
sol_16,0.7302,0.7119,0.5280,0.5345,0.7094,0.6477,0.7786,0.8951,0.0660,0.6228
sol_17,0.7284,0.7281,0.5169,0.5143,0.7066,0.7000,0.7777,0.8986,0.0324,0.6195
sol_18,0.7293,0.7209,0.5242,0.5282,0.7077,0.6761,0.7788,0.8965,0.0556,0.6204
sol_19,0.7300,0.7130,0.5275,0.5337,0.7089,0.6512,0.7789,0.8953,0.0649,0.6222
sol_20,0.7302,0.7095,0.5280,0.5345,0.7095,0.6404,0.7787,0.8950,0.0660,0.6231
average,0.7342,0.7029,0.5312,0.5372,0.7135,0.6121,0.7830,0.8959,0.0657,0.6321
