Model ID,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Precision_functional,Precision_functional needs repair,Precision_non functional,Recall_functional,Recall_functional needs repair,Recall_non functional
sol_17,0.7848,0.7087,0.6507,0.6713,0.7917,0.5287,0.8058,0.8686,0.3314,0.7521
sol_18,0.7851,0.7060,0.6521,0.6716,0.7927,0.5180,0.8075,0.8652,0.3337,0.7574
sol_19,0.7851,0.7060,0.6521,0.6716,0.7927,0.5180,0.8075,0.8652,0.3337,0.7574
sol_20,0.7848,0.7087,0.6507,0.6713,0.7917,0.5287,0.8058,0.8686,0.3314,0.7521
sol_1,0.7833,0.6944,0.6623,0.6756,0.7979,0.4771,0.8082,0.8590,0.3743,0.7537
sol_2,0.7669,0.7208,0.6092,0.6372,0.7527,0.5983,0.8112,0.8976,0.2503,0.6798
sol_3,0.7833,0.6944,0.6623,0.6756,0.7979,0.4771,0.8082,0.8590,0.3743,0.7537
sol_4,0.7765,0.7194,0.6239,0.6508,0.7628,0.5697,0.8258,0.8998,0.2746,0.6971
sol_5,0.7820,0.7091,0.6468,0.6686,0.7818,0.5296,0.8158,0.8798,0.3314,0.7291
sol_6,0.7773,0.7143,0.6312,0.6567,0.7642,0.5466,0.8320,0.8998,0.2990,0.6947
sol_7,0.7772,0.7136,0.6326,0.6577,0.7706,0.5553,0.8150,0.8840,0.2966,0.7173
sol_8,0.7851,0.7016,0.6600,0.6764,0.7959,0.4992,0.8096,0.8646,0.3627,0.7528
sol_9,0.7772,0.7136,0.6326,0.6577,0.7706,0.5553,0.8150,0.8840,0.2966,0.7173
sol_10,0.7820,0.7091,0.6468,0.6686,0.7818,0.5296,0.8158,0.8798,0.3314,0.7291
sol_11,0.7845,0.7043,0.6542,0.6729,0.7920,0.5111,0.8098,0.8706,0.3465,0.7456
sol_12,0.7846,0.6986,0.6621,0.6769,0.7974,0.4893,0.8091,0.8621,0.3708,0.7535
sol_13,0.7841,0.7061,0.6519,0.6717,0.7885,0.5167,0.8132,0.8739,0.3407,0.7412
sol_14,0.7851,0.7016,0.6600,0.6764,0.7959,0.4992,0.8096,0.8646,0.3627,0.7528
sol_15,0.7845,0.7043,0.6542,0.6729,0.7920,0.5111,0.8098,0.8706,0.3465,0.7456
sol_16,0.7824,0.7071,0.6477,0.6687,0.7837,0.5228,0.8147,0.8773,0.3326,0.7333
sol_17,0.7765,0.7194,0.6239,0.6508,0.7628,0.5697,0.8258,0.8998,0.2746,0.6971
sol_18,0.7773,0.7143,0.6312,0.6567,0.7642,0.5466,0.8320,0.8998,0.2990,0.6947
sol_19,0.7846,0.6986,0.6621,0.6769,0.7974,0.4893,0.8091,0.8621,0.3708,0.7535
sol_20,0.7816,0.7077,0.6474,0.6687,0.7826,0.5265,0.8139,0.8773,0.3337,0.7311
sol_1,0.7745,0.6791,0.6639,0.6708,0.7991,0.4430,0.7952,0.8356,0.3963,0.7598
sol_2,0.7655,0.7263,0.6051,0.6335,0.7507,0.6205,0.8077,0.8964,0.2387,0.6803
sol_3,0.7745,0.6791,0.6639,0.6708,0.7991,0.4430,0.7952,0.8356,0.3963,0.7598
sol_4,0.7655,0.7263,0.6051,0.6335,0.7507,0.6205,0.8077,0.8964,0.2387,0.6803
sol_5,0.7819,0.7263,0.6442,0.6705,0.7767,0.5886,0.8136,0.8813,0.3233,0.7280
sol_6,0.7852,0.7193,0.6563,0.6787,0.7885,0.5611,0.8083,0.8692,0.3511,0.7486
sol_7,0.7835,0.7099,0.6561,0.6760,0.7898,0.5332,0.8067,0.8641,0.3534,0.7508
sol_8,0.7837,0.7044,0.6596,0.6770,0.7939,0.5140,0.8054,0.8587,0.3627,0.7574
sol_9,0.7828,0.7004,0.6616,0.6772,0.7951,0.5016,0.8047,0.8545,0.3708,0.7594
sol_10,0.7780,0.6880,0.6632,0.6739,0.7960,0.4671,0.8009,0.8444,0.3870,0.7581
sol_11,0.7744,0.6792,0.6638,0.6708,0.7989,0.4436,0.7951,0.8357,0.3963,0.7594
sol_12,0.7837,0.7236,0.6481,0.6731,0.7816,0.5769,0.8122,0.8787,0.3302,0.7353
sol_13,0.7813,0.6952,0.6629,0.6763,0.7965,0.4866,0.8026,0.8489,0.3778,0.7620
sol_14,0.7838,0.7196,0.6514,0.6749,0.7846,0.5645,0.8097,0.8733,0.3395,0.7414
sol_15,0.7780,0.6880,0.6632,0.6739,0.7960,0.4671,0.8009,0.8444,0.3870,0.7581
sol_16,0.7835,0.7099,0.6561,0.6760,0.7898,0.5332,0.8067,0.8641,0.3534,0.7508
sol_17,0.7829,0.7206,0.6491,0.6733,0.7826,0.5700,0.8093,0.8748,0.3349,0.7377
sol_18,0.7813,0.6954,0.6626,0.6762,0.7963,0.4873,0.8026,0.8491,0.3766,0.7620
sol_19,0.7827,0.7029,0.6605,0.6772,0.7954,0.5121,0.8012,0.8548,0.3673,0.7594
sol_20,0.7818,0.7250,0.6445,0.6705,0.7770,0.5846,0.8135,0.8807,0.3244,0.7285
average,0.7788,0.7075,0.6420,0.6627,0.7807,0.5316,0.8102,0.8743,0.3214,0.7304
