Model ID,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Precision_functional,Precision_functional needs repair,Precision_non functional,Recall_functional,Recall_functional needs repair,Recall_non functional
sol_1,0.7493,0.7479,0.5459,0.5542,0.7267,0.7191,0.7980,0.9018,0.0742,0.6616
sol_2,0.7519,0.7081,0.5670,0.5857,0.7371,0.5980,0.7892,0.8896,0.1379,0.6735
sol_3,0.7519,0.7081,0.5670,0.5857,0.7371,0.5980,0.7892,0.8896,0.1379,0.6735
sol_4,0.7531,0.7317,0.5613,0.5772,0.7361,0.6689,0.7900,0.8924,0.1147,0.6770
sol_5,0.7521,0.7403,0.5528,0.5642,0.7319,0.6937,0.7953,0.8982,0.0892,0.6710
sol_6,0.7511,0.7321,0.5534,0.5652,0.7323,0.6723,0.7917,0.8950,0.0927,0.6724
sol_7,0.7520,0.7185,0.5625,0.5796,0.7339,0.6272,0.7945,0.8936,0.1228,0.6710
sol_8,0.7506,0.7407,0.5489,0.5583,0.7297,0.6970,0.7955,0.8993,0.0800,0.6673
sol_9,0.7529,0.7253,0.5616,0.5775,0.7363,0.6494,0.7902,0.8920,0.1159,0.6767
sol_10,0.7513,0.7323,0.5535,0.5653,0.7324,0.6723,0.7922,0.8953,0.0927,0.6724
sol_11,0.7520,0.7083,0.5661,0.5843,0.7369,0.5979,0.7900,0.8902,0.1344,0.6737
sol_12,0.7494,0.7453,0.5460,0.5543,0.7269,0.7111,0.7979,0.9017,0.0742,0.6621
sol_13,0.7525,0.7150,0.5647,0.5825,0.7356,0.6167,0.7926,0.8913,0.1286,0.6743
sol_14,0.7505,0.7423,0.5483,0.5576,0.7290,0.7010,0.7967,0.9004,0.0788,0.6658
sol_15,0.7522,0.7153,0.5634,0.5807,0.7346,0.6171,0.7941,0.8928,0.1251,0.6721
sol_16,0.7528,0.7129,0.5650,0.5827,0.7364,0.6099,0.7924,0.8913,0.1286,0.6752
sol_17,0.7529,0.7253,0.5616,0.5775,0.7363,0.6494,0.7902,0.8920,0.1159,0.6767
sol_18,0.7520,0.7168,0.5629,0.5801,0.7342,0.6221,0.7942,0.8931,0.1240,0.6715
sol_19,0.7503,0.7447,0.5481,0.5574,0.7284,0.7083,0.7973,0.9009,0.0788,0.6645
sol_20,0.7528,0.7129,0.5650,0.5827,0.7364,0.6099,0.7924,0.8913,0.1286,0.6752
sol_1,0.7342,0.7454,0.5148,0.5062,0.7083,0.7333,0.7944,0.9116,0.0127,0.6200
sol_2,0.7460,0.6835,0.5587,0.5742,0.7334,0.5354,0.7817,0.8830,0.1228,0.6702
sol_3,0.7460,0.6835,0.5587,0.5742,0.7334,0.5354,0.7817,0.8830,0.1228,0.6702
sol_4,0.7342,0.7454,0.5148,0.5062,0.7083,0.7333,0.7944,0.9116,0.0127,0.6200
sol_5,0.7454,0.7428,0.5409,0.5486,0.7222,0.7093,0.7971,0.9063,0.0707,0.6456
sol_6,0.7467,0.7222,0.5456,0.5557,0.7252,0.6455,0.7960,0.9029,0.0823,0.6518
sol_7,0.7472,0.7129,0.5498,0.5619,0.7275,0.6183,0.7930,0.8982,0.0939,0.6572
sol_8,0.7464,0.7290,0.5450,0.5549,0.7245,0.6667,0.7958,0.9031,0.0811,0.6509
sol_9,0.7491,0.7001,0.5558,0.5698,0.7326,0.5776,0.7901,0.8941,0.1078,0.6656
sol_10,0.7460,0.7381,0.5437,0.5533,0.7231,0.6939,0.7972,0.9054,0.0788,0.6469
sol_11,0.7487,0.7165,0.5472,0.5564,0.7291,0.6273,0.7931,0.8990,0.0800,0.6627
sol_12,0.7489,0.6974,0.5561,0.5702,0.7327,0.5697,0.7898,0.8933,0.1089,0.6660
sol_13,0.7467,0.7260,0.5456,0.5556,0.7252,0.6574,0.7953,0.9029,0.0823,0.6515
sol_14,0.7466,0.7336,0.5444,0.5538,0.7244,0.6800,0.7963,0.9041,0.0788,0.6502
sol_15,0.7491,0.6928,0.5570,0.5713,0.7332,0.5549,0.7902,0.8925,0.1112,0.6671
sol_16,0.7490,0.7046,0.5549,0.5687,0.7315,0.5909,0.7914,0.8956,0.1054,0.6636
sol_17,0.7472,0.7073,0.5506,0.5629,0.7283,0.6014,0.7923,0.8976,0.0962,0.6579
