Model ID,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Precision_functional,Precision_functional needs repair,Precision_non functional,Recall_functional,Recall_functional needs repair,Recall_non functional
sol_1,0.7014,0.7669,0.4890,0.4916,0.6539,0.7419,0.9048,0.9721,0.0533,0.4416
sol_2,0.7829,0.6894,0.6787,0.6816,0.7888,0.4243,0.8553,0.8694,0.4415,0.7252
sol_3,0.7014,0.7669,0.4890,0.4916,0.6539,0.7419,0.9048,0.9721,0.0533,0.4416
sol_4,0.7829,0.6894,0.6787,0.6816,0.7888,0.4243,0.8553,0.8694,0.4415,0.7252
sol_5,0.7225,0.7041,0.5194,0.5328,0.6761,0.5369,0.8993,0.9609,0.0927,0.5047
sol_6,0.7219,0.7334,0.5178,0.5309,0.6752,0.6311,0.8938,0.9623,0.0892,0.5019
sol_7,0.7551,0.7168,0.5811,0.6084,0.7152,0.5477,0.8876,0.9417,0.2063,0.5952
sol_8,0.7625,0.7138,0.6030,0.6306,0.7253,0.5195,0.8967,0.9381,0.2619,0.6090
sol_9,0.7798,0.6950,0.6610,0.6722,0.7690,0.4384,0.8774,0.8961,0.3998,0.6873
sol_10,0.7238,0.7014,0.5190,0.5314,0.6774,0.5282,0.8987,0.9609,0.0869,0.5093
sol_11,0.7014,0.7586,0.4897,0.4929,0.6539,0.7164,0.9056,0.9718,0.0556,0.4416
sol_12,0.7013,0.7632,0.4879,0.4895,0.6536,0.7288,0.9071,0.9730,0.0498,0.4407
sol_13,0.7231,0.7087,0.5211,0.5353,0.6769,0.5533,0.8960,0.9594,0.0962,0.5078
sol_14,0.7017,0.7602,0.4875,0.4886,0.6539,0.7193,0.9073,0.9730,0.0475,0.4420
sol_15,0.7732,0.7016,0.6360,0.6562,0.7473,0.4636,0.8939,0.9184,0.3395,0.6500
sol_16,0.7840,0.6925,0.6732,0.6796,0.7845,0.4309,0.8620,0.8806,0.4229,0.7160
sol_17,0.7541,0.7138,0.5803,0.6073,0.7146,0.5394,0.8875,0.9415,0.2063,0.5930
sol_18,0.7706,0.7068,0.6209,0.6456,0.7407,0.4914,0.8882,0.9271,0.2966,0.6391
sol_19,0.7013,0.7632,0.4879,0.4895,0.6536,0.7288,0.9071,0.9730,0.0498,0.4407
sol_20,0.7747,0.6999,0.6402,0.6588,0.7516,0.4555,0.8925,0.9175,0.3499,0.6533
sol_1,0.7387,0.7007,0.5554,0.5789,0.6966,0.5143,0.8911,0.9470,0.1669,0.5525
sol_2,0.7728,0.6722,0.6648,0.6655,0.7827,0.3827,0.8513,0.8637,0.4195,0.7114
sol_3,0.7728,0.6722,0.6648,0.6655,0.7827,0.3827,0.8513,0.8637,0.4195,0.7114
sol_4,0.7387,0.7007,0.5554,0.5789,0.6966,0.5143,0.8911,0.9470,0.1669,0.5525
sol_5,0.7684,0.6979,0.6242,0.6460,0.7406,0.4615,0.8914,0.9214,0.3129,0.6384
sol_6,0.7526,0.7094,0.5795,0.6061,0.7136,0.5280,0.8866,0.9401,0.2074,0.5908
sol_7,0.7794,0.6769,0.6607,0.6658,0.7836,0.3849,0.8622,0.8756,0.3893,0.7173
sol_8,0.7659,0.6906,0.6232,0.6434,0.7408,0.4450,0.8862,0.9158,0.3140,0.6397
sol_9,0.7730,0.6721,0.6638,0.6649,0.7820,0.3811,0.8533,0.8652,0.4160,0.7103
sol_10,0.7525,0.7124,0.5776,0.6044,0.7109,0.5285,0.8978,0.9456,0.2039,0.5834
sol_11,0.7559,0.7145,0.5810,0.6080,0.7157,0.5366,0.8913,0.9426,0.2039,0.5965
sol_12,0.7421,0.7056,0.5593,0.5834,0.6994,0.5231,0.8943,0.9477,0.1703,0.5597
sol_13,0.7717,0.6892,0.6371,0.6534,0.7519,0.4280,0.8878,0.9097,0.3441,0.6575
sol_14,0.7749,0.6862,0.6484,0.6605,0.7630,0.4161,0.8794,0.9000,0.3708,0.6746
sol_15,0.7512,0.7109,0.5761,0.6027,0.7103,0.5289,0.8935,0.9438,0.2016,0.5829
sol_16,0.7758,0.6861,0.6447,0.6584,0.7627,0.4169,0.8788,0.9009,0.3546,0.6787
sol_17,0.7749,0.6862,0.6484,0.6605,0.7630,0.4161,0.8794,0.9000,0.3708,0.6746
sol_18,0.7715,0.6888,0.6367,0.6530,0.7520,0.4277,0.8868,0.9096,0.3430,0.6575
sol_19,0.7525,0.7109,0.5783,0.6050,0.7111,0.5235,0.8981,0.9451,0.2063,0.5836
sol_20,0.7387,0.7011,0.5555,0.5790,0.6966,0.5161,0.8905,0.9468,0.1669,0.5527
sol_1,0.7820,0.6850,0.6706,0.6759,0.7909,0.4208,0.8432,0.8660,0.4125,0.7333
sol_2,0.7050,0.7618,0.4893,0.4893,0.6573,0.7292,0.8988,0.9679,0.0406,0.4593
sol_3,0.7820,0.6850,0.6706,0.6759,0.7909,0.4208,0.8432,0.8660,0.4125,0.7333
sol_4,0.7050,0.7618,0.4893,0.4893,0.6573,0.7292,0.8988,0.9679,0.0406,0.4593
sol_5,0.7540,0.7265,0.5788,0.6071,0.7126,0.5770,0.8899,0.9463,0.2039,0.5862
sol_6,0.7237,0.7556,0.5160,0.5268,0.6768,0.7021,0.8879,0.9612,0.0765,0.5104
sol_7,0.7237,0.7556,0.5160,0.5268,0.6768,0.7021,0.8879,0.9612,0.0765,0.5104
sol_8,0.7669,0.7201,0.6078,0.6362,0.7307,0.5390,0.8905,0.9356,0.2642,0.6235
sol_9,0.7558,0.7179,0.5825,0.6101,0.7171,0.5538,0.8827,0.9403,0.2086,0.5987
sol_10,0.7048,0.7727,0.4913,0.4935,0.6573,0.7636,0.8973,0.9676,0.0487,0.4576
sol_11,0.7776,0.7045,0.6404,0.6612,0.7553,0.4772,0.8811,0.9141,0.3395,0.6675
sol_12,0.7658,0.7209,0.6049,0.6336,0.7295,0.5455,0.8877,0.9358,0.2572,0.6217
sol_13,0.7236,0.7620,0.5161,0.5272,0.6764,0.7204,0.8893,0.9622,0.0776,0.5087
sol_14,0.7766,0.6923,0.6487,0.6631,0.7614,0.4342,0.8813,0.9021,0.3673,0.6767
sol_15,0.7782,0.6919,0.6585,0.6697,0.7686,0.4337,0.8734,0.8934,0.3940,0.6881
sol_16,0.7731,0.7101,0.6265,0.6513,0.7446,0.5019,0.8837,0.9231,0.3071,0.6494
sol_17,0.7852,0.6928,0.6688,0.6776,0.7848,0.4330,0.8605,0.8830,0.4044,0.7190
sol_18,0.7768,0.7052,0.6410,0.6618,0.7539,0.4790,0.8825,0.9138,0.3441,0.6651
sol_19,0.7232,0.7594,0.5157,0.5267,0.6762,0.7128,0.8893,0.9626,0.0776,0.5069
sol_20,0.7552,0.7284,0.5808,0.6094,0.7137,0.5812,0.8903,0.9463,0.2074,0.5886
sol_1,0.6975,0.7473,0.4854,0.4871,0.6515,0.6923,0.8983,0.9707,0.0521,0.4335
sol_2,0.7828,0.6834,0.6752,0.6776,0.7951,0.4101,0.8450,0.8623,0.4253,0.7381
sol_3,0.6975,0.7473,0.4854,0.4871,0.6515,0.6923,0.8983,0.9707,0.0521,0.4335
sol_4,0.7828,0.6834,0.6752,0.6776,0.7951,0.4101,0.8450,0.8623,0.4253,0.7381
sol_5,0.7759,0.6870,0.6594,0.6670,0.7672,0.4098,0.8839,0.8951,0.4056,0.6774
sol_6,0.7631,0.7084,0.6071,0.6334,0.7275,0.5000,0.8976,0.9352,0.2735,0.6125
sol_7,0.7302,0.7203,0.5339,0.5528,0.6837,0.5778,0.8995,0.9592,0.1205,0.5220
sol_8,0.7799,0.6807,0.6725,0.6749,0.7926,0.4087,0.8409,0.8593,0.4229,0.7353
sol_9,0.7151,0.7158,0.5170,0.5327,0.6692,0.5813,0.8969,0.9612,0.1078,0.4821
sol_10,0.7290,0.7243,0.5322,0.5508,0.6826,0.5930,0.8973,0.9594,0.1182,0.5192
sol_11,0.7167,0.7142,0.5194,0.5357,0.6710,0.5749,0.8969,0.9609,0.1112,0.4861
sol_12,0.7446,0.7211,0.5735,0.6017,0.7001,0.5549,0.9081,0.9515,0.2167,0.5523
sol_13,0.7726,0.7017,0.6409,0.6592,0.7476,0.4587,0.8988,0.9201,0.3604,0.6421
sol_14,0.7684,0.7077,0.6234,0.6473,0.7365,0.4857,0.9009,0.9316,0.3152,0.6235
sol_15,0.7753,0.6957,0.6544,0.6667,0.7584,0.4366,0.8922,0.9074,0.3951,0.6605
sol_16,0.7547,0.7042,0.5953,0.6217,0.7177,0.4978,0.8973,0.9381,0.2584,0.5895
sol_17,0.7401,0.7187,0.5554,0.5800,0.6959,0.5657,0.8945,0.9516,0.1645,0.5501
sol_18,0.7465,0.7237,0.5735,0.6018,0.7021,0.5635,0.9054,0.9518,0.2109,0.5577
sol_19,0.7731,0.7020,0.6413,0.6597,0.7486,0.4607,0.8968,0.9201,0.3604,0.6434
sol_20,0.7547,0.7042,0.5953,0.6217,0.7177,0.4978,0.8973,0.9381,0.2584,0.5895
sol_1,0.6967,0.7334,0.4827,0.4815,0.6536,0.6731,0.8735,0.9628,0.0406,0.4449
sol_2,0.7810,0.6878,0.6813,0.6823,0.7912,0.4261,0.8461,0.8641,0.4542,0.7254
sol_3,0.7810,0.6878,0.6813,0.6823,0.7912,0.4261,0.8461,0.8641,0.4542,0.7254
sol_4,0.6967,0.7334,0.4827,0.4815,0.6536,0.6731,0.8735,0.9628,0.0406,0.4449
sol_5,0.7480,0.7097,0.5751,0.6019,0.7091,0.5359,0.8842,0.9425,0.2074,0.5755
sol_6,0.6959,0.7161,0.4901,0.4960,0.6533,0.6186,0.8766,0.9617,0.0695,0.4390
sol_7,0.7579,0.7077,0.5978,0.6247,0.7222,0.5116,0.8894,0.9362,0.2561,0.6009
sol_8,0.7723,0.6958,0.6503,0.6648,0.7565,0.4545,0.8765,0.9049,0.3882,0.6577
sol_9,0.7672,0.7027,0.6343,0.6550,0.7417,0.4818,0.8847,0.9181,0.3523,0.6325
sol_10,0.7008,0.7619,0.4851,0.4838,0.6550,0.7391,0.8914,0.9696,0.0394,0.4462
sol_11,0.7567,0.7113,0.5986,0.6261,0.7192,0.5194,0.8955,0.9383,0.2642,0.5933
sol_12,0.7007,0.7507,0.4873,0.4882,0.6554,0.7069,0.8897,0.9688,0.0475,0.4455
sol_13,0.6975,0.7145,0.4912,0.4974,0.6538,0.6040,0.8857,0.9649,0.0707,0.4381
sol_14,0.7003,0.7586,0.4859,0.4859,0.6548,0.7308,0.8903,0.9693,0.0440,0.4444
sol_15,0.7520,0.7140,0.5767,0.6035,0.7116,0.5404,0.8900,0.9448,0.2016,0.5836
sol_16,0.7787,0.6920,0.6696,0.6759,0.7735,0.4286,0.8741,0.8886,0.4311,0.6892
sol_17,0.7007,0.7507,0.4873,0.4882,0.6554,0.7069,0.8897,0.9688,0.0475,0.4455
sol_18,0.7672,0.7027,0.6343,0.6550,0.7417,0.4818,0.8847,0.9181,0.3523,0.6325
sol_19,0.7787,0.6920,0.6696,0.6759,0.7735,0.4286,0.8741,0.8886,0.4311,0.6892
sol_20,0.7012,0.7689,0.4857,0.4849,0.6553,0.7609,0.8905,0.9691,0.0406,0.4475
average,0.7481,0.7142,0.5847,0.5986,0.7188,0.5389,0.8850,0.9304,0.2364,0.5874
