Model ID,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Precision_functional,Precision_functional needs repair,Precision_non functional,Recall_functional,Recall_functional needs repair,Recall_non functional
sol_1,0.7816,0.6974,0.6548,0.6714,0.7910,0.4928,0.8085,0.8641,0.3546,0.7458
sol_2,0.7816,0.6974,0.6548,0.6714,0.7910,0.4928,0.8085,0.8641,0.3546,0.7458
sol_3,0.7648,0.7274,0.6073,0.6360,0.7523,0.6283,0.8015,0.8925,0.2468,0.6824
sol_4,0.7648,0.7274,0.6073,0.6360,0.7523,0.6283,0.8015,0.8925,0.2468,0.6824
sol_5,0.7699,0.7090,0.6205,0.6462,0.7600,0.5545,0.8126,0.8872,0.2769,0.6973
sol_6,0.7803,0.7054,0.6456,0.6666,0.7828,0.5240,0.8093,0.8728,0.3291,0.7348
sol_7,0.7673,0.7219,0.6149,0.6431,0.7566,0.6053,0.8040,0.8913,0.2665,0.6868
sol_8,0.7674,0.7134,0.6162,0.6431,0.7566,0.5753,0.8084,0.8889,0.2700,0.6897
sol_9,0.7816,0.7042,0.6533,0.6724,0.7873,0.5162,0.8092,0.8682,0.3511,0.7407
sol_10,0.7674,0.7233,0.6143,0.6426,0.7563,0.6096,0.8040,0.8917,0.2642,0.6868
sol_11,0.7804,0.7043,0.6486,0.6687,0.7843,0.5196,0.8090,0.8703,0.3384,0.7370
sol_12,0.7648,0.7255,0.6082,0.6369,0.7526,0.6225,0.8014,0.8917,0.2503,0.6827
sol_13,0.7697,0.7078,0.6201,0.6456,0.7600,0.5509,0.8126,0.8871,0.2758,0.6973
sol_14,0.7644,0.7249,0.6102,0.6391,0.7526,0.6212,0.8010,0.8911,0.2584,0.6811
sol_15,0.7803,0.7054,0.6456,0.6666,0.7828,0.5240,0.8093,0.8728,0.3291,0.7348
sol_16,0.7699,0.7090,0.6205,0.6462,0.7600,0.5545,0.8126,0.8872,0.2769,0.6973
sol_17,0.7673,0.7219,0.6149,0.6431,0.7566,0.6053,0.8040,0.8913,0.2665,0.6868
sol_18,0.7798,0.7053,0.6470,0.6678,0.7829,0.5245,0.8085,0.8714,0.3349,0.7346
sol_19,0.7644,0.7249,0.6102,0.6391,0.7526,0.6212,0.8010,0.8911,0.2584,0.6811
sol_20,0.7816,0.7042,0.6530,0.6721,0.7872,0.5162,0.8092,0.8683,0.3499,0.7407
sol_1,0.7608,0.6922,0.6055,0.6293,0.7543,0.5245,0.7979,0.8823,0.2480,0.6862
sol_2,0.7601,0.6572,0.6410,0.6482,0.7879,0.4056,0.7782,0.8267,0.3534,0.7429
sol_3,0.7601,0.6572,0.6410,0.6482,0.7879,0.4056,0.7782,0.8267,0.3534,0.7429
sol_4,0.7608,0.6922,0.6055,0.6293,0.7543,0.5245,0.7979,0.8823,0.2480,0.6862
sol_5,0.7630,0.6799,0.6079,0.6290,0.7597,0.4787,0.8012,0.8787,0.2480,0.6969
sol_6,0.7685,0.6827,0.6292,0.6479,0.7743,0.4771,0.7966,0.8627,0.3013,0.7236
sol_7,0.7676,0.6817,0.6229,0.6425,0.7702,0.4748,0.8000,0.8689,0.2839,0.7160
sol_8,0.7690,0.6716,0.6344,0.6488,0.7810,0.4352,0.7985,0.8553,0.3152,0.7329
sol_9,0.7671,0.6663,0.6353,0.6477,0.7834,0.4216,0.7940,0.8486,0.3210,0.7364
sol_10,0.7630,0.6799,0.6079,0.6290,0.7597,0.4787,0.8012,0.8787,0.2480,0.6969
sol_11,0.7601,0.6573,0.6410,0.6483,0.7879,0.4061,0.7780,0.8269,0.3534,0.7427
sol_12,0.7676,0.6817,0.6229,0.6425,0.7702,0.4748,0.8000,0.8689,0.2839,0.7160
sol_13,0.7609,0.6927,0.6055,0.6294,0.7543,0.5258,0.7979,0.8824,0.2480,0.6862
sol_14,0.7690,0.6716,0.6344,0.6488,0.7810,0.4352,0.7985,0.8553,0.3152,0.7329
sol_15,0.7609,0.6927,0.6055,0.6294,0.7543,0.5258,0.7979,0.8824,0.2480,0.6862
sol_16,0.7685,0.6827,0.6292,0.6479,0.7743,0.4771,0.7966,0.8627,0.3013,0.7236
sol_17,0.7669,0.6661,0.6365,0.6485,0.7836,0.4207,0.7940,0.8475,0.3256,0.7364
sol_18,0.7601,0.6573,0.6410,0.6483,0.7879,0.4061,0.7780,0.8269,0.3534,0.7427
sol_19,0.7671,0.6663,0.6353,0.6477,0.7834,0.4216,0.7940,0.8486,0.3210,0.7364
sol_20,0.7669,0.6661,0.6365,0.6485,0.7836,0.4207,0.7940,0.8475,0.3256,0.7364
sol_1,0.7475,0.7126,0.5871,0.6145,0.7361,0.6214,0.7804,0.8815,0.2225,0.6575
sol_2,0.7734,0.6862,0.6464,0.6619,0.7892,0.4796,0.7898,0.8468,0.3407,0.7517
sol_3,0.7734,0.6862,0.6464,0.6619,0.7892,0.4796,0.7898,0.8468,0.3407,0.7517
sol_4,0.7475,0.7126,0.5871,0.6145,0.7361,0.6214,0.7804,0.8815,0.2225,0.6575
sol_5,0.7766,0.7084,0.6377,0.6609,0.7783,0.5458,0.8009,0.8708,0.3105,0.7318
sol_6,0.7584,0.7140,0.6037,0.6311,0.7508,0.6045,0.7868,0.8799,0.2480,0.6833
sol_7,0.7771,0.6947,0.6429,0.6616,0.7867,0.5000,0.7975,0.8592,0.3221,0.7473
sol_8,0.7580,0.7107,0.6045,0.6315,0.7508,0.5945,0.7868,0.8787,0.2514,0.6833
sol_9,0.7766,0.6980,0.6406,0.6607,0.7846,0.5131,0.7962,0.8627,0.3175,0.7416
sol_10,0.7750,0.7033,0.6386,0.6606,0.7777,0.5320,0.8001,0.8674,0.3175,0.7309
sol_11,0.7765,0.6977,0.6406,0.6606,0.7846,0.5121,0.7962,0.8626,0.3175,0.7416
sol_12,0.7760,0.6912,0.6450,0.6623,0.7883,0.4906,0.7948,0.8550,0.3314,0.7486
sol_13,0.7732,0.6854,0.6466,0.6618,0.7892,0.4773,0.7898,0.8461,0.3418,0.7517
sol_14,0.7773,0.7022,0.6396,0.6609,0.7822,0.5242,0.8001,0.8680,0.3140,0.7368
sol_15,0.7760,0.6912,0.6450,0.6623,0.7883,0.4906,0.7948,0.8550,0.3314,0.7486
sol_16,0.7580,0.7107,0.6045,0.6315,0.7508,0.5945,0.7868,0.8787,0.2514,0.6833
sol_17,0.7584,0.7140,0.6037,0.6311,0.7508,0.6045,0.7868,0.8799,0.2480,0.6833
sol_18,0.7773,0.7022,0.6396,0.6609,0.7822,0.5242,0.8001,0.8680,0.3140,0.7368
sol_19,0.7748,0.7026,0.6381,0.6600,0.7776,0.5301,0.8001,0.8672,0.3163,0.7309
sol_20,0.7732,0.6854,0.6466,0.6618,0.7892,0.4773,0.7898,0.8461,0.3418,0.7517
sol_1,0.7746,0.6851,0.6553,0.6678,0.7920,0.4678,0.7956,0.8481,0.3708,0.7471
sol_2,0.7514,0.7178,0.5936,0.6222,0.7375,0.6250,0.7910,0.8888,0.2375,0.6544
sol_3,0.7746,0.6851,0.6553,0.6678,0.7920,0.4678,0.7956,0.8481,0.3708,0.7471
sol_4,0.7514,0.7178,0.5936,0.6222,0.7375,0.6250,0.7910,0.8888,0.2375,0.6544
sol_5,0.7595,0.6996,0.6038,0.6294,0.7468,0.5439,0.8082,0.8925,0.2514,0.6675
sol_6,0.7739,0.6998,0.6414,0.6622,0.7759,0.5190,0.8046,0.8696,0.3326,0.7221
sol_7,0.7744,0.6867,0.6485,0.6636,0.7883,0.4756,0.7960,0.8556,0.3499,0.7399
sol_8,0.7547,0.7053,0.6002,0.6268,0.7457,0.5820,0.7883,0.8798,0.2468,0.6739
sol_9,0.7753,0.6858,0.6535,0.6667,0.7915,0.4687,0.7971,0.8525,0.3638,0.7440
sol_10,0.7755,0.6956,0.6454,0.6640,0.7817,0.5017,0.8034,0.8649,0.3395,0.7318
sol_11,0.7744,0.6899,0.6474,0.6638,0.7861,0.4870,0.7966,0.8567,0.3465,0.7390
sol_12,0.7738,0.6963,0.6429,0.6623,0.7792,0.5088,0.8009,0.8654,0.3360,0.7272
sol_13,0.7536,0.7090,0.5973,0.6246,0.7421,0.5938,0.7911,0.8848,0.2422,0.6649
sol_14,0.7750,0.6987,0.6423,0.6626,0.7771,0.5116,0.8074,0.8703,0.3326,0.7241
sol_15,0.7525,0.7141,0.5948,0.6229,0.7382,0.6095,0.7945,0.8889,0.2387,0.6568
sol_16,0.7531,0.7075,0.5964,0.6237,0.7399,0.5871,0.7956,0.8877,0.2422,0.6594
sol_17,0.7579,0.7016,0.6005,0.6264,0.7453,0.5556,0.8038,0.8911,0.2433,0.6671
sol_18,0.7747,0.6922,0.6457,0.6633,0.7828,0.4925,0.8013,0.8616,0.3418,0.7337
sol_19,0.7512,0.7163,0.5938,0.6223,0.7374,0.6205,0.7910,0.8883,0.2387,0.6544
sol_20,0.7595,0.6996,0.6038,0.6294,0.7468,0.5439,0.8082,0.8925,0.2514,0.6675
sol_1,0.7743,0.6917,0.6533,0.6687,0.7902,0.4953,0.7897,0.8471,0.3638,0.7491
sol_2,0.7552,0.7119,0.5925,0.6192,0.7420,0.5987,0.7950,0.8889,0.2213,0.6673
sol_3,0.7743,0.6917,0.6533,0.6687,0.7902,0.4953,0.7897,0.8471,0.3638,0.7491
sol_4,0.7735,0.7075,0.6367,0.6602,0.7735,0.5480,0.8010,0.8719,0.3175,0.7208
sol_5,0.7735,0.7075,0.6367,0.6602,0.7735,0.5480,0.8010,0.8719,0.3175,0.7208
sol_6,0.7711,0.6944,0.6468,0.6649,0.7835,0.5136,0.7863,0.8491,0.3511,0.7403
sol_7,0.7742,0.6997,0.6468,0.6663,0.7840,0.5238,0.7913,0.8551,0.3441,0.7412
sol_8,0.7742,0.7046,0.6440,0.6655,0.7787,0.5378,0.7972,0.8641,0.3384,0.7296
sol_9,0.7723,0.6919,0.6501,0.6664,0.7866,0.5008,0.7883,0.8472,0.3581,0.7449
sol_10,0.7722,0.7044,0.6373,0.6600,0.7734,0.5409,0.7988,0.8683,0.3221,0.7215
sol_11,0.7730,0.6946,0.6494,0.6668,0.7864,0.5092,0.7883,0.8495,0.3546,0.7440
sol_12,0.7741,0.7023,0.6442,0.6650,0.7808,0.5320,0.7942,0.8602,0.3372,0.7350
sol_13,0.7725,0.7059,0.6370,0.6602,0.7733,0.5453,0.7993,0.8702,0.3210,0.7199
sol_14,0.7746,0.7014,0.6462,0.6662,0.7827,0.5277,0.7937,0.8581,0.3418,0.7385
sol_15,0.7746,0.7014,0.6462,0.6662,0.7827,0.5277,0.7937,0.8581,0.3418,0.7385
sol_16,0.7722,0.7047,0.6373,0.6601,0.7733,0.5419,0.7989,0.8686,0.3221,0.7210
sol_17,0.7742,0.6997,0.6468,0.6663,0.7840,0.5238,0.7913,0.8551,0.3441,0.7412
sol_18,0.7734,0.7074,0.6369,0.6603,0.7733,0.5478,0.8011,0.8719,0.3187,0.7201
sol_19,0.7739,0.7016,0.6437,0.6644,0.7806,0.5302,0.7940,0.8599,0.3360,0.7350
sol_20,0.7729,0.6943,0.6493,0.6666,0.7863,0.5083,0.7883,0.8494,0.3546,0.7440
average,0.7686,0.6979,0.6296,0.6504,0.7714,0.5253,0.7970,0.8679,0.3048,0.7161
