Model ID,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Precision_functional,Precision_functional needs repair,Precision_non functional,Recall_functional,Recall_functional needs repair,Recall_non functional
sol_1,0.7352,0.6278,0.6043,0.6113,0.7443,0.3309,0.8081,0.8592,0.3140,0.6397
sol_2,0.7242,0.6159,0.6230,0.6138,0.7569,0.2902,0.8006,0.8176,0.3975,0.6540
sol_3,0.7352,0.6278,0.6043,0.6113,0.7443,0.3309,0.8081,0.8592,0.3140,0.6397
sol_4,0.7242,0.6159,0.6230,0.6138,0.7569,0.2902,0.8006,0.8176,0.3975,0.6540
sol_5,0.7315,0.6221,0.6121,0.6127,0.7497,0.3083,0.8084,0.8450,0.3476,0.6437
sol_6,0.7305,0.6211,0.6205,0.6168,0.7569,0.3067,0.7997,0.8300,0.3743,0.6572
sol_7,0.7239,0.6156,0.6221,0.6132,0.7559,0.2887,0.8022,0.8179,0.3951,0.6533
sol_8,0.7311,0.6213,0.6116,0.6120,0.7497,0.3064,0.8079,0.8441,0.3465,0.6441
sol_9,0.7306,0.6210,0.6076,0.6098,0.7463,0.3088,0.8079,0.8472,0.3349,0.6406
sol_10,0.7300,0.6202,0.6207,0.6164,0.7575,0.3037,0.7995,0.8278,0.3754,0.6588
sol_11,0.7332,0.6247,0.6056,0.6106,0.7451,0.3207,0.8082,0.8548,0.3233,0.6388
sol_12,0.7352,0.6278,0.6056,0.6120,0.7450,0.3293,0.8090,0.8587,0.3187,0.6395
sol_13,0.7328,0.6238,0.6058,0.6103,0.7455,0.3185,0.8074,0.8534,0.3244,0.6395
sol_14,0.7330,0.6246,0.6074,0.6117,0.7463,0.3209,0.8067,0.8522,0.3291,0.6410
sol_15,0.7306,0.6210,0.6076,0.6098,0.7463,0.3088,0.8079,0.8472,0.3349,0.6406
sol_16,0.7300,0.6202,0.6207,0.6164,0.7575,0.3037,0.7995,0.8278,0.3754,0.6588
sol_17,0.7336,0.6250,0.6053,0.6106,0.7451,0.3217,0.8083,0.8554,0.3210,0.6395
sol_18,0.7244,0.6156,0.6217,0.6132,0.7567,0.2900,0.8002,0.8193,0.3928,0.6531
sol_19,0.7303,0.6207,0.6205,0.6166,0.7570,0.3056,0.7996,0.8289,0.3743,0.6583
sol_20,0.7304,0.6210,0.6205,0.6167,0.7568,0.3067,0.7995,0.8298,0.3743,0.6572
sol_1,0.7177,0.6080,0.6164,0.6059,0.7542,0.2716,0.7982,0.8089,0.3893,0.6509
sol_2,0.7275,0.6191,0.5464,0.5608,0.7147,0.3455,0.7972,0.8947,0.1425,0.6020
sol_3,0.7177,0.6080,0.6164,0.6059,0.7542,0.2716,0.7982,0.8089,0.3893,0.6509
sol_4,0.7275,0.6191,0.5464,0.5608,0.7147,0.3455,0.7972,0.8947,0.1425,0.6020
sol_5,0.7277,0.6192,0.5721,0.5858,0.7249,0.3305,0.8022,0.8775,0.2283,0.6106
sol_6,0.7301,0.6165,0.5937,0.6000,0.7403,0.2995,0.8098,0.8579,0.2908,0.6325
sol_7,0.7284,0.6258,0.5526,0.5685,0.7163,0.3636,0.7973,0.8937,0.1622,0.6018
sol_8,0.7291,0.6176,0.6052,0.6069,0.7465,0.2987,0.8076,0.8460,0.3302,0.6395
sol_9,0.7177,0.6080,0.6164,0.6059,0.7541,0.2716,0.7983,0.8091,0.3893,0.6507
sol_10,0.7288,0.6157,0.5968,0.6014,0.7419,0.2974,0.8078,0.8530,0.3036,0.6338
sol_11,0.7218,0.6103,0.6136,0.6069,0.7537,0.2792,0.7980,0.8184,0.3708,0.6518
sol_12,0.7274,0.6215,0.5528,0.5683,0.7167,0.3515,0.7962,0.8910,0.1645,0.6029
sol_13,0.7275,0.6175,0.5568,0.5717,0.7193,0.3348,0.7984,0.8874,0.1773,0.6057
sol_14,0.7277,0.6184,0.5707,0.5845,0.7245,0.3282,0.8026,0.8782,0.2236,0.6103
