Model ID,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Precision_functional,Precision_functional needs repair,Precision_non functional,Recall_functional,Recall_functional needs repair,Recall_non functional
sol_1,0.7484,0.6461,0.6794,0.6523,0.7978,0.3146,0.8260,0.8111,0.5249,0.7022
sol_2,0.7484,0.6461,0.6794,0.6523,0.7978,0.3146,0.8260,0.8111,0.5249,0.7022
sol_3,0.7603,0.6549,0.6726,0.6597,0.7961,0.3494,0.8190,0.8263,0.4693,0.7221
sol_4,0.7603,0.6549,0.6726,0.6597,0.7961,0.3494,0.8190,0.8263,0.4693,0.7221
sol_5,0.7487,0.6464,0.6787,0.6524,0.7975,0.3181,0.8237,0.8151,0.5238,0.6973
sol_6,0.7487,0.6464,0.6787,0.6524,0.7975,0.3181,0.8237,0.8151,0.5238,0.6973
sol_7,0.7484,0.6461,0.6794,0.6523,0.7978,0.3146,0.8260,0.8111,0.5249,0.7022
sol_8,0.7487,0.6464,0.6787,0.6524,0.7975,0.3181,0.8237,0.8151,0.5238,0.6973
sol_9,0.7487,0.6464,0.6787,0.6524,0.7975,0.3181,0.8237,0.8151,0.5238,0.6973
sol_10,0.7484,0.6461,0.6794,0.6523,0.7978,0.3146,0.8260,0.8111,0.5249,0.7022
sol_11,0.7487,0.6464,0.6787,0.6524,0.7975,0.3181,0.8237,0.8151,0.5238,0.6973
sol_12,0.7487,0.6464,0.6787,0.6524,0.7975,0.3181,0.8237,0.8151,0.5238,0.6973
sol_13,0.7484,0.6461,0.6794,0.6523,0.7978,0.3146,0.8260,0.8111,0.5249,0.7022
sol_14,0.7484,0.6461,0.6794,0.6523,0.7978,0.3146,0.8260,0.8111,0.5249,0.7022
sol_15,0.7487,0.6464,0.6787,0.6524,0.7975,0.3181,0.8237,0.8151,0.5238,0.6973
sol_16,0.7487,0.6464,0.6787,0.6524,0.7975,0.3181,0.8237,0.8151,0.5238,0.6973
sol_17,0.7484,0.6461,0.6794,0.6523,0.7978,0.3146,0.8260,0.8111,0.5249,0.7022
sol_18,0.7487,0.6464,0.6787,0.6524,0.7975,0.3181,0.8237,0.8151,0.5238,0.6973
sol_19,0.7487,0.6464,0.6787,0.6524,0.7975,0.3181,0.8237,0.8151,0.5238,0.6973
sol_20,0.7487,0.6464,0.6787,0.6524,0.7975,0.3181,0.8237,0.8151,0.5238,0.6973
sol_1,0.7712,0.6720,0.6862,0.6773,0.8050,0.4015,0.8095,0.8261,0.4844,0.7480
sol_2,0.7378,0.6456,0.6948,0.6519,0.7957,0.3113,0.8297,0.7940,0.6072,0.6831
sol_3,0.7712,0.6720,0.6862,0.6773,0.8050,0.4015,0.8095,0.8261,0.4844,0.7480
sol_4,0.7378,0.6456,0.6948,0.6519,0.7957,0.3113,0.8297,0.7940,0.6072,0.6831
sol_5,0.7702,0.6719,0.6892,0.6775,0.8016,0.3940,0.8201,0.8317,0.5017,0.7342
sol_6,0.7566,0.6558,0.6911,0.6662,0.8049,0.3509,0.8116,0.8046,0.5388,0.7300
sol_7,0.7543,0.6550,0.6924,0.6638,0.8020,0.3392,0.8238,0.8105,0.5539,0.7129
sol_8,0.7712,0.6719,0.6862,0.6773,0.8051,0.4012,0.8096,0.8260,0.4844,0.7482
sol_9,0.7543,0.6550,0.6924,0.6638,0.8020,0.3392,0.8238,0.8105,0.5539,0.7129
sol_10,0.7702,0.6719,0.6892,0.6775,0.8016,0.3940,0.8201,0.8317,0.5017,0.7342
sol_11,0.7566,0.6558,0.6911,0.6662,0.8049,0.3509,0.8116,0.8046,0.5388,0.7300
sol_12,0.7565,0.6558,0.6914,0.6662,0.8050,0.3506,0.8118,0.8044,0.5400,0.7298
sol_13,0.7565,0.6558,0.6914,0.6662,0.8050,0.3506,0.8118,0.8044,0.5400,0.7298
sol_14,0.7712,0.6719,0.6862,0.6773,0.8051,0.4012,0.8096,0.8260,0.4844,0.7482
sol_15,0.7378,0.6456,0.6948,0.6519,0.7957,0.3113,0.8297,0.7940,0.6072,0.6831
sol_16,0.7712,0.6719,0.6862,0.6773,0.8051,0.4012,0.8096,0.8260,0.4844,0.7482
sol_17,0.7712,0.6720,0.6862,0.6773,0.8050,0.4015,0.8095,0.8261,0.4844,0.7480
sol_18,0.7566,0.6558,0.6911,0.6662,0.8049,0.3509,0.8116,0.8046,0.5388,0.7300
sol_19,0.7543,0.6550,0.6924,0.6638,0.8020,0.3392,0.8238,0.8105,0.5539,0.7129
