Model ID,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Precision_functional,Precision_functional needs repair,Precision_non functional,Recall_functional,Recall_functional needs repair,Recall_non functional
sol_17,0.7938,0.7990,0.6079,0.6369,0.7576,0.7647,0.8747,0.9409,0.1808,0.7020
sol_18,0.7992,0.7971,0.6209,0.6525,0.7646,0.7510,0.8756,0.9373,0.2097,0.7155
sol_19,0.8126,0.7583,0.6605,0.6884,0.8035,0.6250,0.8463,0.9018,0.2955,0.7844
sol_20,0.8119,0.7463,0.6679,0.6931,0.8073,0.5869,0.8447,0.8939,0.3210,0.7890
sol_1,0.8030,0.7237,0.6720,0.6914,0.8077,0.5309,0.8324,0.8809,0.3581,0.7771
sol_2,0.8030,0.7237,0.6720,0.6914,0.8077,0.5309,0.8324,0.8809,0.3581,0.7771
sol_3,0.8013,0.7950,0.6299,0.6631,0.7702,0.7454,0.8695,0.9330,0.2341,0.7226
sol_4,0.8013,0.7950,0.6299,0.6631,0.7702,0.7454,0.8695,0.9330,0.2341,0.7226
sol_5,0.8102,0.7716,0.6529,0.6837,0.7932,0.6676,0.8539,0.9150,0.2816,0.7620
sol_6,0.8058,0.7323,0.6706,0.6926,0.8052,0.5525,0.8393,0.8882,0.3476,0.7760
sol_7,0.8086,0.7795,0.6483,0.6804,0.7877,0.6932,0.8576,0.9201,0.2723,0.7524
sol_8,0.8074,0.7630,0.6546,0.6846,0.7921,0.6463,0.8507,0.9100,0.2943,0.7594
sol_9,0.8026,0.7886,0.6331,0.6658,0.7741,0.7263,0.8655,0.9290,0.2399,0.7304
sol_10,0.8075,0.7406,0.6663,0.6911,0.8004,0.5731,0.8482,0.8984,0.3314,0.7692
sol_11,0.8091,0.7547,0.6619,0.6901,0.7975,0.6159,0.8507,0.9063,0.3140,0.7655
sol_12,0.8085,0.7586,0.6564,0.6856,0.7932,0.6284,0.8544,0.9103,0.2978,0.7611
sol_13,0.8068,0.7831,0.6443,0.6765,0.7865,0.7107,0.8523,0.9175,0.2619,0.7535
sol_14,0.8091,0.7494,0.6649,0.6917,0.7996,0.5987,0.8498,0.9027,0.3233,0.7688
sol_15,0.8046,0.7861,0.6389,0.6719,0.7776,0.7157,0.8650,0.9269,0.2538,0.7359
sol_16,0.8038,0.7854,0.6390,0.6721,0.7770,0.7152,0.8641,0.9262,0.2561,0.7346
sol_17,0.8023,0.7240,0.6708,0.6906,0.8058,0.5330,0.8331,0.8810,0.3557,0.7756
sol_18,0.8075,0.7406,0.6663,0.6911,0.8004,0.5731,0.8482,0.8984,0.3314,0.7692
sol_19,0.8096,0.7540,0.6623,0.6902,0.7983,0.6131,0.8507,0.9062,0.3140,0.7668
sol_20,0.8063,0.7795,0.6451,0.6772,0.7856,0.6991,0.8539,0.9172,0.2665,0.7517
sol_1,0.7879,0.8006,0.6079,0.6402,0.7486,0.7733,0.8799,0.9445,0.2016,0.6776
sol_2,0.7879,0.8006,0.6079,0.6402,0.7486,0.7733,0.8799,0.9445,0.2016,0.6776
sol_3,0.8052,0.7324,0.6822,0.7016,0.8093,0.5539,0.8339,0.8773,0.3870,0.7824
sol_4,0.8052,0.7324,0.6822,0.7016,0.8093,0.5539,0.8339,0.8773,0.3870,0.7824
sol_5,0.8045,0.7876,0.6459,0.6807,0.7748,0.7147,0.8732,0.9302,0.2816,0.7258
sol_6,0.8084,0.7711,0.6577,0.6896,0.7871,0.6625,0.8639,0.9190,0.3071,0.7469
sol_7,0.7985,0.7930,0.6303,0.6649,0.7636,0.7370,0.8784,0.9367,0.2468,0.7074
sol_8,0.8050,0.7804,0.6460,0.6795,0.7787,0.6957,0.8668,0.9254,0.2781,0.7346
sol_9,0.7934,0.7966,0.6175,0.6507,0.7564,0.7550,0.8784,0.9411,0.2178,0.6936
sol_10,0.8097,0.7617,0.6679,0.6971,0.7961,0.6358,0.8533,0.9052,0.3337,0.7646
sol_11,0.7988,0.7930,0.6298,0.6643,0.7632,0.7352,0.8807,0.9378,0.2445,0.7072
sol_12,0.8078,0.7400,0.6799,0.7020,0.8071,0.5727,0.8403,0.8858,0.3743,0.7795
sol_13,0.8091,0.7683,0.6577,0.6887,0.7906,0.6558,0.8585,0.9141,0.3024,0.7565
sol_14,0.8095,0.7476,0.6767,0.7014,0.8045,0.5935,0.8449,0.8924,0.3604,0.7773
sol_15,0.8088,0.7420,0.6781,0.7011,0.8077,0.5780,0.8402,0.8869,0.3650,0.7824
sol_16,0.8092,0.7641,0.6621,0.6922,0.7937,0.6439,0.8548,0.9102,0.3163,0.7598
sol_17,0.7939,0.7955,0.6200,0.6536,0.7577,0.7519,0.8768,0.9395,0.2248,0.6958
sol_18,0.8054,0.7332,0.6810,0.7010,0.8090,0.5565,0.8341,0.8785,0.3824,0.7822
sol_19,0.8109,0.7513,0.6763,0.7019,0.8045,0.6020,0.8474,0.8953,0.3557,0.7778
sol_20,0.8050,0.7804,0.6460,0.6795,0.7787,0.6957,0.8668,0.9254,0.2781,0.7346
average,0.8015,0.7746,0.6390,0.6659,0.7802,0.6821,0.8615,0.9200,0.2605,0.7364
