Model ID,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Precision_functional,Precision_functional needs repair,Precision_non functional,Recall_functional,Recall_functional needs repair,Recall_non functional
42,0.7365,0.6324,0.6588,0.6359,0.7839,0.2965,0.8168,0.8080,0.4855,0.6829
17,0.7424,0.6441,0.6781,0.6492,0.7892,0.3179,0.8251,0.8120,0.5400,0.6824
74,0.7380,0.6365,0.6659,0.6413,0.7842,0.3091,0.8163,0.8067,0.5064,0.6846
5,0.7375,0.6341,0.6615,0.6394,0.7837,0.3092,0.8094,0.8038,0.4902,0.6906
84,0.7399,0.6400,0.6728,0.6461,0.7876,0.3179,0.8144,0.8050,0.5249,0.6886
19,0.7368,0.6328,0.6612,0.6373,0.7868,0.2991,0.8126,0.8060,0.4925,0.6853
30,0.7390,0.6378,0.6632,0.6426,0.7798,0.3228,0.8109,0.8098,0.4948,0.6851
26,0.7336,0.6332,0.6625,0.6371,0.7797,0.3035,0.8163,0.8043,0.5064,0.6767
78,0.7340,0.6321,0.6594,0.6374,0.7800,0.3137,0.8026,0.8038,0.4936,0.6809
21,0.7397,0.6396,0.6682,0.6445,0.7841,0.3224,0.8122,0.8145,0.5133,0.6767
90,0.7387,0.6343,0.6597,0.6379,0.7856,0.3027,0.8146,0.8137,0.4844,0.6809
68,0.7335,0.6337,0.6663,0.6391,0.7831,0.3081,0.8098,0.8007,0.5191,0.6792
22,0.7384,0.6392,0.6685,0.6446,0.7805,0.3227,0.8144,0.8064,0.5145,0.6846
75,0.7328,0.6342,0.6633,0.6374,0.7760,0.3050,0.8215,0.8049,0.5122,0.6728
32,0.7402,0.6391,0.6706,0.6457,0.7870,0.3190,0.8114,0.8024,0.5145,0.6949
56,0.7366,0.6359,0.6659,0.6411,0.7830,0.3129,0.8118,0.8052,0.5098,0.6827
33,0.7371,0.6339,0.6597,0.6379,0.7826,0.3071,0.8119,0.8101,0.4878,0.6811
8,0.7387,0.6352,0.6638,0.6411,0.7873,0.3121,0.8060,0.8044,0.4948,0.6921
60,0.7360,0.6359,0.6674,0.6416,0.7832,0.3138,0.8107,0.8022,0.5156,0.6842
67,0.7405,0.6391,0.6664,0.6441,0.7841,0.3203,0.8130,0.8123,0.5029,0.6840
14,0.7454,0.6436,0.6711,0.6490,0.7878,0.3244,0.8187,0.8136,0.5052,0.6945
7,0.7435,0.6427,0.6743,0.6482,0.7906,0.3174,0.8201,0.8122,0.5226,0.6881
20,0.7321,0.6274,0.6572,0.6332,0.7865,0.2975,0.7981,0.7966,0.4878,0.6870
58,0.7417,0.6413,0.6705,0.6473,0.7847,0.3255,0.8138,0.8080,0.5122,0.6914
79,0.7366,0.6340,0.6631,0.6397,0.7837,0.3089,0.8095,0.8002,0.4971,0.6921
92,0.7326,0.6330,0.6642,0.6386,0.7793,0.3124,0.8073,0.7990,0.5133,0.6803
95,0.7321,0.6284,0.6568,0.6328,0.7837,0.2968,0.8047,0.8038,0.4902,0.6765
98,0.7447,0.6392,0.6633,0.6434,0.7879,0.3089,0.8208,0.8136,0.4786,0.6978
66,0.7319,0.6317,0.6612,0.6364,0.7785,0.3086,0.8080,0.8030,0.5064,0.6741
1,0.7387,0.6365,0.6722,0.6437,0.7938,0.3063,0.8093,0.7949,0.5214,0.7002
72,0.7387,0.6367,0.6679,0.6410,0.7892,0.3003,0.8207,0.8081,0.5122,0.6833
average,0.7377,0.6360,0.6653,0.6411,0.7844,0.3111,0.8127,0.8061,0.5048,0.6850
