Model ID,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Precision_functional,Precision_functional needs repair,Precision_non functional,Recall_functional,Recall_functional needs repair,Recall_non functional
42,0.7183,0.6082,0.6161,0.6061,0.7545,0.2738,0.7965,0.8103,0.3870,0.6509
17,0.7248,0.6160,0.6213,0.6132,0.7563,0.2903,0.8013,0.8204,0.3905,0.6531
74,0.7237,0.6175,0.6195,0.6118,0.7519,0.2941,0.8065,0.8334,0.3940,0.6312
5,0.7194,0.6114,0.6172,0.6086,0.7529,0.2889,0.7924,0.8185,0.3917,0.6415
84,0.7216,0.6147,0.6178,0.6113,0.7513,0.3019,0.7911,0.8227,0.3893,0.6415
19,0.7293,0.6202,0.6195,0.6148,0.7554,0.2984,0.8067,0.8343,0.3766,0.6476
30,0.7242,0.6168,0.6186,0.6120,0.7512,0.2931,0.8060,0.8264,0.3859,0.6437
26,0.7229,0.6165,0.6184,0.6125,0.7505,0.3037,0.7952,0.8246,0.3882,0.6426
78,0.7224,0.6170,0.6204,0.6137,0.7511,0.3078,0.7922,0.8232,0.3963,0.6417
21,0.7258,0.6226,0.6220,0.6171,0.7490,0.3184,0.8004,0.8326,0.3963,0.6371
90,0.7211,0.6166,0.6203,0.6120,0.7495,0.2997,0.8006,0.8271,0.4021,0.6318
68,0.7201,0.6136,0.6174,0.6099,0.7506,0.2971,0.7931,0.8235,0.3928,0.6360
22,0.7201,0.6111,0.6131,0.6077,0.7500,0.2947,0.7886,0.8184,0.3743,0.6467
75,0.7199,0.6137,0.6159,0.6077,0.7482,0.2863,0.8065,0.8288,0.3905,0.6283
32,0.7185,0.6128,0.6191,0.6101,0.7510,0.2976,0.7899,0.8193,0.4021,0.6360
56,0.7220,0.6190,0.6258,0.6159,0.7519,0.3067,0.7983,0.8243,0.4183,0.6349
33,0.7170,0.6087,0.6102,0.6039,0.7476,0.2889,0.7896,0.8247,0.3766,0.6292
8,0.7127,0.6048,0.6116,0.6023,0.7479,0.2810,0.7855,0.8101,0.3882,0.6364
60,0.7195,0.6044,0.6069,0.6006,0.7541,0.2621,0.7971,0.8167,0.3523,0.6518
67,0.7152,0.6079,0.6172,0.6053,0.7527,0.2758,0.7951,0.8126,0.4021,0.6369
14,0.7283,0.6224,0.6219,0.6160,0.7523,0.3017,0.8133,0.8376,0.3905,0.6377
7,0.7279,0.6189,0.6184,0.6136,0.7535,0.2964,0.8067,0.8314,0.3754,0.6483
20,0.7236,0.6176,0.6224,0.6137,0.7527,0.2947,0.8054,0.8249,0.4009,0.6415
58,0.7194,0.6105,0.6144,0.6073,0.7509,0.2881,0.7925,0.8177,0.3812,0.6443
79,0.7254,0.6197,0.6238,0.6168,0.7544,0.3091,0.7956,0.8241,0.3998,0.6476
92,0.7184,0.6158,0.6231,0.6131,0.7487,0.3061,0.7926,0.8190,0.4171,0.6331
95,0.7191,0.6117,0.6188,0.6097,0.7535,0.2927,0.7889,0.8162,0.3975,0.6428
98,0.7189,0.6087,0.6121,0.6053,0.7521,0.2855,0.7885,0.8204,0.3754,0.6404
66,0.7213,0.6117,0.6169,0.6081,0.7546,0.2784,0.8021,0.8208,0.3859,0.6441
1,0.7184,0.6131,0.6219,0.6113,0.7523,0.2950,0.7920,0.8146,0.4102,0.6408
72,0.7291,0.6213,0.6197,0.6146,0.7534,0.2968,0.8137,0.8387,0.3801,0.6404
average,0.7216,0.6144,0.6181,0.6105,0.7518,0.2937,0.7975,0.8231,0.3906,0.6406
