Model ID,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Precision_functional,Precision_functional needs repair,Precision_non functional,Recall_functional,Recall_functional needs repair,Recall_non functional
42,0.7760,0.6885,0.6340,0.6531,0.7754,0.4711,0.8190,0.8775,0.3024,0.7221
17,0.7788,0.6977,0.6494,0.6675,0.7797,0.4926,0.8206,0.8747,0.3488,0.7247
74,0.7749,0.6876,0.6365,0.6549,0.7754,0.4697,0.8177,0.8751,0.3140,0.7204
5,0.7764,0.7006,0.6395,0.6606,0.7774,0.5159,0.8084,0.8722,0.3187,0.7276
84,0.7734,0.6974,0.6405,0.6608,0.7730,0.5080,0.8112,0.8714,0.3314,0.7186
19,0.7755,0.6941,0.6362,0.6563,0.7757,0.4936,0.8130,0.8765,0.3117,0.7204
30,0.7747,0.6894,0.6355,0.6545,0.7763,0.4794,0.8125,0.8748,0.3105,0.7210
26,0.7713,0.6879,0.6344,0.6535,0.7714,0.4805,0.8117,0.8683,0.3140,0.7208
78,0.7668,0.6855,0.6284,0.6482,0.7689,0.4871,0.8004,0.8674,0.3059,0.7118
21,0.7753,0.6965,0.6385,0.6589,0.7761,0.5027,0.8107,0.8748,0.3198,0.7208
90,0.7759,0.6941,0.6342,0.6546,0.7746,0.4916,0.8162,0.8804,0.3048,0.7173
68,0.7766,0.7002,0.6381,0.6593,0.7784,0.5152,0.8071,0.8750,0.3140,0.7252
22,0.7713,0.6931,0.6366,0.6567,0.7703,0.4982,0.8109,0.8680,0.3221,0.7197
75,0.7697,0.6869,0.6291,0.6490,0.7688,0.4815,0.8104,0.8739,0.3024,0.7109
32,0.7758,0.6922,0.6376,0.6569,0.7780,0.4882,0.8103,0.8683,0.3117,0.7329
56,0.7749,0.6920,0.6345,0.6544,0.7743,0.4879,0.8138,0.8716,0.3048,0.7272
33,0.7774,0.6952,0.6389,0.6588,0.7765,0.4910,0.8182,0.8756,0.3152,0.7261
8,0.7762,0.6959,0.6361,0.6566,0.7802,0.5038,0.8037,0.8703,0.3059,0.7322
60,0.7714,0.6915,0.6356,0.6554,0.7724,0.4946,0.8076,0.8694,0.3187,0.7186
67,0.7708,0.6813,0.6335,0.6509,0.7759,0.4615,0.8064,0.8692,0.3129,0.7184
14,0.7836,0.7121,0.6416,0.6649,0.7777,0.5328,0.8258,0.8861,0.3105,0.7282
7,0.7821,0.6995,0.6472,0.6663,0.7818,0.4923,0.8245,0.8792,0.3326,0.7300
20,0.7670,0.6763,0.6230,0.6413,0.7710,0.4579,0.8000,0.8644,0.2839,0.7206
58,0.7759,0.7005,0.6409,0.6619,0.7756,0.5147,0.8114,0.8720,0.3256,0.7252
79,0.7769,0.6949,0.6376,0.6576,0.7784,0.4954,0.8111,0.8705,0.3094,0.7331
92,0.7723,0.6856,0.6400,0.6570,0.7777,0.4712,0.8078,0.8682,0.3314,0.7204
95,0.7743,0.6877,0.6336,0.6526,0.7784,0.4781,0.8065,0.8719,0.3036,0.7254
98,0.7792,0.6906,0.6390,0.6575,0.7808,0.4718,0.8191,0.8770,0.3105,0.7296
66,0.7716,0.6873,0.6310,0.6505,0.7724,0.4806,0.8087,0.8697,0.3013,0.7219
1,0.7745,0.6946,0.6455,0.6639,0.7789,0.4983,0.8065,0.8623,0.3418,0.7324
72,0.7707,0.6814,0.6352,0.6522,0.7748,0.4605,0.8088,0.8657,0.3175,0.7223
average,0.7746,0.6922,0.6368,0.6563,0.7757,0.4893,0.8116,0.8723,0.3148,0.7234
