Model ID,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Precision_functional,Precision_functional needs repair,Precision_non functional,Recall_functional,Recall_functional needs repair,Recall_non functional
42,0.7829,0.6829,0.6414,0.6566,0.7961,0.4468,0.8059,0.8559,0.2966,0.7716
17,0.7862,0.6939,0.6464,0.6636,0.7963,0.4751,0.8103,0.8651,0.3094,0.7648
74,0.7811,0.6931,0.6486,0.6654,0.7927,0.4831,0.8034,0.8604,0.3314,0.7541
5,0.7878,0.7032,0.6492,0.6681,0.7968,0.5047,0.8080,0.8620,0.3129,0.7727
84,0.7843,0.6994,0.6539,0.6711,0.7966,0.4983,0.8034,0.8582,0.3395,0.7640
19,0.7798,0.6901,0.6372,0.6554,0.7894,0.4801,0.8008,0.8606,0.2932,0.7578
30,0.7768,0.6799,0.6398,0.6549,0.7914,0.4503,0.7981,0.8547,0.3094,0.7552
26,0.7814,0.6897,0.6478,0.6637,0.7915,0.4691,0.8084,0.8568,0.3256,0.7609
78,0.7793,0.6995,0.6451,0.6644,0.7906,0.5139,0.7941,0.8544,0.3210,0.7600
21,0.7814,0.6958,0.6490,0.6665,0.7913,0.4914,0.8046,0.8616,0.3326,0.7528
90,0.7854,0.6972,0.6459,0.6640,0.7962,0.4908,0.8047,0.8620,0.3082,0.7675
68,0.7765,0.6848,0.6359,0.6532,0.7871,0.4690,0.7982,0.8581,0.2978,0.7517
22,0.7782,0.6821,0.6392,0.6549,0.7902,0.4545,0.8014,0.8514,0.3013,0.7648
75,0.7780,0.6800,0.6341,0.6506,0.7838,0.4433,0.8131,0.8644,0.2897,0.7482
32,0.7857,0.7047,0.6485,0.6681,0.7948,0.5151,0.8041,0.8610,0.3163,0.7681
56,0.7830,0.6913,0.6461,0.6628,0.7930,0.4723,0.8086,0.8616,0.3163,0.7602
33,0.7786,0.6773,0.6437,0.6570,0.7946,0.4333,0.8039,0.8576,0.3198,0.7537
8,0.7766,0.6794,0.6351,0.6509,0.7931,0.4539,0.7911,0.8502,0.2908,0.7644
60,0.7853,0.6973,0.6492,0.6667,0.7974,0.4902,0.8041,0.8604,0.3198,0.7673
67,0.7839,0.6920,0.6490,0.6652,0.7970,0.4744,0.8046,0.8570,0.3221,0.7679
14,0.7828,0.6945,0.6427,0.6610,0.7903,0.4852,0.8080,0.8616,0.3048,0.7618
7,0.7838,0.6850,0.6474,0.6619,0.7963,0.4475,0.8111,0.8568,0.3163,0.7690
20,0.7782,0.6737,0.6312,0.6462,0.7914,0.4283,0.8015,0.8554,0.2735,0.7646
58,0.7828,0.6978,0.6453,0.6637,0.7955,0.5009,0.7970,0.8545,0.3105,0.7708
79,0.7856,0.7018,0.6550,0.6726,0.7956,0.5026,0.8073,0.8561,0.3384,0.7705
92,0.7808,0.6914,0.6442,0.6615,0.7894,0.4773,0.8075,0.8615,0.3163,0.7548
95,0.7792,0.6770,0.6388,0.6532,0.7939,0.4338,0.8034,0.8587,0.3001,0.7576
98,0.7813,0.6874,0.6391,0.6562,0.7914,0.4662,0.8048,0.8602,0.2955,0.7616
66,0.7794,0.6851,0.6379,0.6548,0.7906,0.4629,0.8018,0.8593,0.2966,0.7578
1,0.7829,0.6878,0.6470,0.6624,0.7967,0.4621,0.8046,0.8562,0.3175,0.7673
72,0.7808,0.6842,0.6408,0.6567,0.7911,0.4538,0.8076,0.8565,0.3013,0.7646
average,0.7816,0.6897,0.6437,0.6604,0.7930,0.4719,0.8040,0.8584,0.3105,0.7622
