Model ID,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Precision_functional,Precision_functional needs repair,Precision_non functional,Recall_functional,Recall_functional needs repair,Recall_non functional
42,0.7388,0.6873,0.5436,0.5554,0.7216,0.5578,0.7825,0.8931,0.0950,0.6426
17,0.7359,0.6949,0.5358,0.5441,0.7161,0.5856,0.7829,0.8920,0.0753,0.6401
74,0.7350,0.6754,0.5348,0.5435,0.7144,0.5234,0.7885,0.8986,0.0776,0.6283
5,0.7336,0.6843,0.5314,0.5367,0.7156,0.5612,0.7761,0.8875,0.0637,0.6428
84,0.7312,0.6926,0.5354,0.5460,0.7138,0.5906,0.7733,0.8883,0.0869,0.6309
19,0.7367,0.6811,0.5346,0.5417,0.7165,0.5398,0.7870,0.8975,0.0707,0.6355
30,0.7342,0.6836,0.5351,0.5438,0.7146,0.5537,0.7824,0.8911,0.0776,0.6366
26,0.7353,0.6963,0.5344,0.5427,0.7131,0.5872,0.7887,0.8965,0.0742,0.6325
78,0.7355,0.7025,0.5394,0.5507,0.7167,0.6111,0.7798,0.8905,0.0892,0.6386
21,0.7326,0.6892,0.5355,0.5460,0.7133,0.5736,0.7808,0.8941,0.0857,0.6268
90,0.7301,0.6737,0.5305,0.5390,0.7094,0.5280,0.7837,0.8964,0.0765,0.6187
68,0.7333,0.6864,0.5347,0.5444,0.7142,0.5635,0.7816,0.8976,0.0823,0.6242
22,0.7333,0.6772,0.5346,0.5429,0.7143,0.5366,0.7807,0.8871,0.0765,0.6404
75,0.7306,0.6590,0.5294,0.5361,0.7116,0.4839,0.7814,0.8944,0.0695,0.6244
32,0.7306,0.6691,0.5331,0.5419,0.7134,0.5188,0.7751,0.8874,0.0800,0.6320
56,0.7317,0.6924,0.5333,0.5424,0.7124,0.5862,0.7787,0.8913,0.0788,0.6298
33,0.7258,0.6503,0.5267,0.5338,0.7094,0.4701,0.7714,0.8903,0.0730,0.6167
8,0.7283,0.6639,0.5304,0.5385,0.7112,0.5077,0.7729,0.8860,0.0765,0.6288
60,0.7335,0.6420,0.5291,0.5320,0.7175,0.4324,0.7760,0.8872,0.0556,0.6445
67,0.7340,0.6744,0.5404,0.5526,0.7160,0.5250,0.7822,0.8908,0.0973,0.6329
14,0.7312,0.6660,0.5289,0.5347,0.7110,0.5045,0.7823,0.8924,0.0649,0.6294
7,0.7420,0.6853,0.5429,0.5529,0.7215,0.5407,0.7936,0.8978,0.0846,0.6463
20,0.7356,0.6621,0.5351,0.5430,0.7156,0.4815,0.7891,0.8959,0.0753,0.6340
58,0.7296,0.6796,0.5312,0.5388,0.7135,0.5565,0.7687,0.8835,0.0742,0.6360
79,0.7334,0.6853,0.5374,0.5480,0.7161,0.5630,0.7769,0.8906,0.0881,0.6334
92,0.7285,0.6779,0.5306,0.5392,0.7104,0.5492,0.7741,0.8886,0.0776,0.6255
95,0.7335,0.6635,0.5383,0.5485,0.7184,0.4968,0.7752,0.8869,0.0892,0.6386
98,0.7307,0.6673,0.5327,0.5406,0.7150,0.5156,0.7714,0.8844,0.0765,0.6373
66,0.7309,0.6559,0.5316,0.5388,0.7138,0.4773,0.7766,0.8866,0.0730,0.6353
1,0.7313,0.6516,0.5305,0.5365,0.7152,0.4646,0.7750,0.8883,0.0684,0.6349
72,0.7351,0.6833,0.5337,0.5418,0.7110,0.5431,0.7958,0.8986,0.0730,0.6294
average,0.7330,0.6759,0.5340,0.5425,0.7144,0.5332,0.7801,0.8913,0.0776,0.6331
